id,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighteddegree,authority,hub,clustering,triangles,eigencentrality
0,825,2,0.992832,0.99639,6.40E-05,18145,0.035499,0.035499,0.972771,330645,0.997916
1,825,2,0.992832,0.99639,5.80E-05,26623,0.035488,0.035488,0.972154,330435,0.997607
2,798,2,0.961806,0.980144,1.80E-05,8668,0.034595,0.034595,0.98773,314101,0.972423
3,813,2,0.978799,0.98917,2.60E-05,11655,0.035167,0.035167,0.983152,324517,0.988531
4,818,2,0.984597,0.992178,6.40E-05,17015,0.035227,0.035227,0.974446,325614,0.990255
5,827,2,0.99521,0.997593,7.60E-05,30417,0.035529,0.035529,0.96965,331185,0.998763
6,783,2,0.945392,0.971119,1.30E-05,3965,0.034007,0.034007,0.991132,303438,0.955876
7,826,2,0.994019,0.996992,6.90E-05,22782,0.035513,0.035513,0.971138,330891,0.998303
8,784,2,0.946469,0.971721,1.90E-05,3784,0.034023,0.034023,0.989421,303689,0.956342
9,815,2,0.98111,0.990373,6.10E-05,9122,0.035129,0.035129,0.976208,323813,0.9875
10,825,2,0.992832,0.99639,5.40E-05,24217,0.035503,0.035503,0.972951,330706,0.998014
11,829,2,0.997599,0.998797,8.50E-05,28835,0.035566,0.035566,0.966967,331869,0.999816
12,824,2,0.991647,0.995788,0.000133,11541,0.03543,0.03543,0.971352,329362,0.995972
13,824,2,0.991647,0.995788,4.50E-05,28630,0.035493,0.035493,0.974823,330539,0.997742
14,819,2,0.985765,0.99278,4.00E-05,15904,0.035331,0.035331,0.977783,327529,0.993156
15,824,2,0.991647,0.995788,4.60E-05,22224,0.035491,0.035491,0.974681,330491,0.997676
16,817,2,0.983432,0.991576,2.70E-05,12001,0.03532,0.03532,0.982,327336,0.992825
17,823,2,0.990465,0.995187,4.70E-05,17117,0.035447,0.035447,0.974661,329682,0.996445
18,821,2,0.988109,0.993983,3.40E-05,19527,0.035433,0.035433,0.978652,329424,0.996026
19,814,2,0.979953,0.989771,2.80E-05,15872,0.035194,0.035194,0.982272,325025,0.989301
20,828,2,0.996403,0.998195,9.80E-05,33985,0.035544,0.035544,0.968114,331461,0.999187
21,814,2,0.979953,0.989771,2.40E-05,11413,0.035215,0.035215,0.98339,325395,0.989862
22,798,2,0.961806,0.980144,2.60E-05,6249,0.03453,0.03453,0.983852,312868,0.970625
23,366,2,0.641204,0.720217,0,475,0.015985,0.015985,0.998518,66696,0.44935
24,828,2,0.996403,0.998195,8.10E-05,37879,0.035546,0.035546,0.968266,331513,0.999266
25,827,2,0.99521,0.997593,7.20E-05,37735,0.035537,0.035537,0.970081,331332,0.998978
26,815,2,0.98111,0.990373,3.80E-05,8399,0.035198,0.035198,0.980033,325082,0.989412
27,797,2,0.960694,0.979543,1.20E-05,3633,0.034609,0.034609,0.990823,314295,0.972811
28,825,2,0.992832,0.99639,7.70E-05,17357,0.035446,0.035446,0.969856,329654,0.996431
29,820,2,0.986936,0.993381,3.90E-05,16494,0.035374,0.035374,0.977778,328328,0.994364
30,822,2,0.989286,0.994585,4.00E-05,23021,0.035444,0.035444,0.976852,329620,0.996339
31,817,2,0.983432,0.991576,4.50E-05,12800,0.035214,0.035214,0.976126,325378,0.989883
32,766,2,0.927455,0.96089,1.10E-05,2906,0.033274,0.033274,0.99117,290408,0.935285
33,830,2,0.998798,0.999398,0.000121,28107,0.035569,0.035569,0.96482,331932,0.999924
34,829,2,0.997599,0.998797,8.50E-05,37716,0.035566,0.035566,0.966967,331869,0.999816
35,828,2,0.996403,0.998195,6.60E-05,42165,0.03556,0.03556,0.96897,331754,0.999631
36,820,2,0.986936,0.993381,3.70E-05,13825,0.03538,0.03538,0.978114,328441,0.994539
37,814,2,0.979953,0.989771,3.20E-05,10094,0.035167,0.035167,0.980752,324522,0.988545
38,813,2,0.978799,0.98917,4.30E-05,10537,0.035088,0.035088,0.978735,323059,0.98633
39,811,2,0.976498,0.987966,3.60E-05,9039,0.035027,0.035027,0.980159,321938,0.984598
40,825,2,0.992832,0.99639,5.00E-05,21103,0.03551,0.03551,0.973366,330847,0.998226
41,827,2,0.99521,0.997593,7.40E-05,37346,0.03553,0.03553,0.969718,331208,0.998794
42,822,2,0.989286,0.994585,4.40E-05,14900,0.035438,0.035438,0.976529,329511,0.996173
43,805,2,0.969662,0.984356,1.90E-05,5446,0.03488,0.03488,0.986481,319235,0.980433
44,818,2,0.984597,0.992178,3.40E-05,13606,0.035323,0.035323,0.979791,327400,0.992935
45,826,2,0.994019,0.996992,5.40E-05,22869,0.03553,0.03553,0.972095,331217,0.998793
46,824,2,0.991647,0.995788,5.00E-05,23909,0.035486,0.035486,0.974395,330394,0.997526
47,828,2,0.996403,0.998195,6.60E-05,31656,0.03556,0.03556,0.96897,331754,0.999631
48,828,2,0.996403,0.998195,8.10E-05,36398,0.035546,0.035546,0.96824,331504,0.999254
49,824,2,0.991647,0.995788,4.80E-05,28082,0.035487,0.035487,0.974442,330410,0.997555
50,828,2,0.996403,0.998195,6.60E-05,36925,0.03556,0.03556,0.96897,331754,0.999631
51,818,2,0.984597,0.992178,3.40E-05,8866,0.035321,0.035321,0.979641,327350,0.992868
52,819,2,0.985765,0.99278,4.70E-05,12721,0.035274,0.035274,0.974672,326487,0.991572
53,823,2,0.990465,0.995187,4.40E-05,18612,0.035467,0.035467,0.975749,330050,0.997001
54,821,2,0.988109,0.993983,3.60E-05,19970,0.035425,0.035425,0.978188,329268,0.995792
55,793,2,0.956272,0.977136,2.20E-05,4216,0.034379,0.034379,0.987571,310125,0.966373
56,825,2,0.992832,0.99639,5.70E-05,27700,0.035491,0.035491,0.972342,330499,0.997698
57,797,2,0.960694,0.979543,1.90E-05,7570,0.034551,0.034551,0.987683,313299,0.971195
58,823,2,0.990465,0.995187,4.10E-05,23128,0.035476,0.035476,0.976243,330217,0.997248
59,824,2,0.991647,0.995788,5.40E-05,25382,0.035468,0.035468,0.97344,330070,0.997044
60,819,2,0.985765,0.99278,3.10E-05,16308,0.03537,0.03537,0.979948,328254,0.994238
61,825,2,0.992832,0.99639,5.60E-05,14716,0.035492,0.035492,0.972368,330508,0.997714
62,824,2,0.991647,0.995788,4.50E-05,30667,0.035494,0.035494,0.974837,330544,0.997751
63,817,2,0.983432,0.991576,3.00E-05,11422,0.035306,0.035306,0.981265,327091,0.992456
64,818,2,0.984597,0.992178,3.60E-05,10870,0.035305,0.035305,0.978773,327060,0.992426
65,810,2,0.975352,0.987365,2.30E-05,12308,0.035068,0.035068,0.98492,322704,0.985725
66,819,2,0.985765,0.99278,3.10E-05,11220,0.03537,0.03537,0.979948,328254,0.994238
67,826,2,0.994019,0.996992,5.40E-05,30234,0.03553,0.03553,0.972095,331217,0.998793
68,819,2,0.985765,0.99278,3.50E-05,15527,0.035353,0.035353,0.979022,327944,0.99377
69,820,2,0.986936,0.993381,3.60E-05,12559,0.035387,0.035387,0.97849,328567,0.994724
70,787,2,0.949714,0.973526,1.80E-05,3694,0.034126,0.034126,0.987853,305534,0.959253
71,820,2,0.986936,0.993381,0.000116,14890,0.035361,0.035361,0.977084,328095,0.994005
72,813,2,0.978799,0.98917,3.00E-05,12054,0.035136,0.035136,0.981486,323967,0.987676
73,820,2,0.986936,0.993381,3.50E-05,11945,0.035392,0.035392,0.978772,328662,0.994868
74,779,2,0.94111,0.968712,1.90E-05,4444,0.033804,0.033804,0.989166,299748,0.950182
75,828,2,0.996403,0.998195,6.60E-05,29696,0.03556,0.03556,0.96897,331754,0.999631
76,823,2,0.990465,0.995187,4.60E-05,20649,0.035455,0.035455,0.97506,329817,0.996647
77,827,2,0.99521,0.997593,6.20E-05,34561,0.035542,0.035542,0.970388,331437,0.99914
78,828,2,0.996403,0.998195,9.80E-05,17664,0.035544,0.035544,0.968114,331461,0.999187
79,821,2,0.988109,0.993983,3.30E-05,10541,0.035437,0.035437,0.978866,329496,0.996135
80,822,2,0.989286,0.994585,4.00E-05,23763,0.035448,0.035448,0.977083,329698,0.996454
81,817,2,0.983432,0.991576,2.70E-05,14886,0.035316,0.035316,0.981781,327263,0.992717
82,799,2,0.96292,0.980746,1.90E-05,11549,0.034638,0.034638,0.987557,314834,0.973639
83,828,2,0.996403,0.998195,6.60E-05,41663,0.03556,0.03556,0.96897,331754,0.999631
84,825,2,0.992832,0.99639,7.60E-05,28446,0.035454,0.035454,0.970291,329802,0.996652
85,823,2,0.990465,0.995187,4.30E-05,25582,0.03547,0.03547,0.975917,330107,0.99708
86,825,2,0.992832,0.99639,6.10E-05,16730,0.035463,0.035463,0.970809,329978,0.996921
87,818,2,0.984597,0.992178,3.00E-05,12590,0.035341,0.035341,0.980739,327717,0.993418
88,825,2,0.992832,0.99639,7.00E-05,29147,0.035486,0.035486,0.972027,330392,0.997541
89,829,2,0.997599,0.998797,8.50E-05,38235,0.035566,0.035566,0.966967,331869,0.999816
90,821,2,0.988109,0.993983,3.80E-05,17151,0.035418,0.035418,0.977826,329146,0.995606
91,828,2,0.996403,0.998195,8.10E-05,28495,0.035546,0.035546,0.968266,331513,0.999266
92,797,2,0.960694,0.979543,1.90E-05,7570,0.034551,0.034551,0.987683,313299,0.971195
93,823,2,0.990465,0.995187,4.10E-05,16459,0.035476,0.035476,0.976231,330213,0.997239
94,745,2,0.906216,0.948255,1.00E-05,4319,0.032387,0.032387,0.992563,275079,0.910356
95,821,2,0.988109,0.993983,4.10E-05,20152,0.035414,0.035414,0.977615,329075,0.995502
96,813,2,0.978799,0.98917,2.20E-05,11708,0.035193,0.035193,0.984592,324992,0.989239
97,808,2,0.973068,0.986161,5.70E-05,8239,0.034948,0.034948,0.982998,320485,0.982376
98,822,2,0.989286,0.994585,3.70E-05,20863,0.035456,0.035456,0.977539,329852,0.996685
99,823,2,0.990465,0.995187,4.20E-05,23946,0.035474,0.035474,0.976116,330174,0.997185
100,820,2,0.986936,0.993381,3.40E-05,11773,0.035396,0.035396,0.979008,328741,0.994986
101,828,2,0.996403,0.998195,6.60E-05,40443,0.03556,0.03556,0.96897,331754,0.999631
102,816,2,0.98227,0.990975,3.80E-05,15617,0.035239,0.035239,0.979953,325854,0.990574
103,812,2,0.977647,0.988568,3.30E-05,7579,0.035078,0.035078,0.980599,322878,0.986043
104,822,2,0.989286,0.994585,4.10E-05,23963,0.035437,0.035437,0.976511,329505,0.99616
105,822,2,0.989286,0.994585,0.00013,10904,0.035368,0.035368,0.972714,328224,0.994229
106,784,2,0.946469,0.971721,1.20E-05,9032,0.034054,0.034054,0.991454,304313,0.957217
107,822,2,0.989286,0.994585,4.60E-05,15895,0.035422,0.035422,0.975637,329210,0.995726
108,765,2,0.926421,0.960289,7.00E-06,3077,0.033286,0.033286,0.994823,290717,0.935608
109,824,2,0.991647,0.995788,5.20E-05,18892,0.035476,0.035476,0.973864,330214,0.997256
110,830,2,0.998798,0.999398,0.000172,37565,0.035552,0.035552,0.963911,331619,0.999449
111,800,2,0.964037,0.981348,1.80E-05,5193,0.034673,0.034673,0.987059,315464,0.974636
112,822,2,0.989286,0.994585,6.40E-05,11263,0.035392,0.035392,0.974036,328670,0.994908
113,801,2,0.965157,0.981949,0.000104,6499,0.034642,0.034642,0.982784,314884,0.973774
114,807,2,0.97193,0.98556,1.90E-05,6450,0.034961,0.034961,0.986231,320743,0.982735
115,735,2,0.89644,0.942238,4.70E-05,2294,0.031866,0.031866,0.987659,266416,0.89573
116,784,2,0.946469,0.971721,2.10E-05,5819,0.034004,0.034004,0.988447,303390,0.955808
117,824,2,0.991647,0.995788,6.10E-05,22244,0.035476,0.035476,0.973847,330208,0.997245
118,698,2,0.862033,0.919976,3.00E-06,2263,0.030431,0.030431,0.996793,242473,0.855369
119,608,2,0.788425,0.865824,2.00E-06,832,0.026545,0.026545,0.997719,184107,0.746129
120,804,2,0.968531,0.983755,2.10E-05,6971,0.034825,0.034825,0.985911,318258,0.978903
121,825,2,0.992832,0.99639,5.40E-05,21691,0.035495,0.035495,0.972551,330570,0.997808
122,826,2,0.994019,0.996992,7.40E-05,27877,0.035501,0.035501,0.970466,330662,0.997964
123,813,2,0.978799,0.98917,2.70E-05,15372,0.035157,0.035157,0.982619,324341,0.988254
124,824,2,0.991647,0.995788,4.60E-05,21122,0.035491,0.035491,0.974681,330491,0.997676
125,801,2,0.965157,0.981949,2.10E-05,7870,0.034697,0.034697,0.986096,315945,0.975296
126,823,2,0.990465,0.995187,4.40E-05,17638,0.035467,0.035467,0.975749,330050,0.997001
127,813,2,0.978799,0.98917,3.40E-05,8192,0.035123,0.035123,0.980714,323712,0.987307
128,804,2,0.968531,0.983755,2.90E-05,7675,0.034799,0.034799,0.984436,317782,0.978178
129,826,2,0.994019,0.996992,0.000141,24534,0.035487,0.035487,0.969776,330427,0.997602
130,806,2,0.970794,0.984958,2.60E-05,10511,0.034881,0.034881,0.98415,319273,0.980496
131,823,2,0.990465,0.995187,4.70E-05,21631,0.035452,0.035452,0.974918,329769,0.996575
132,790,2,0.952982,0.975331,1.10E-05,8123,0.034316,0.034316,0.991545,309020,0.964575
133,785,2,0.947548,0.972323,2.00E-05,4056,0.034001,0.034001,0.985831,303360,0.955762
134,828,2,0.996403,0.998195,6.60E-05,28586,0.03556,0.03556,0.96897,331754,0.999631
135,825,2,0.992832,0.99639,5.10E-05,18801,0.035509,0.035509,0.973266,330813,0.998175
136,808,2,0.973068,0.986161,2.50E-05,9883,0.034984,0.034984,0.985056,321156,0.983373
137,829,2,0.997599,0.998797,8.50E-05,45539,0.035566,0.035566,0.966967,331869,0.999816
138,822,2,0.989286,0.994585,3.90E-05,16521,0.03545,0.03545,0.97721,329741,0.996518
139,813,2,0.978799,0.98917,2.30E-05,8062,0.035182,0.035182,0.983995,324795,0.988945
140,816,2,0.98227,0.990975,3.40E-05,7914,0.035231,0.035231,0.979463,325691,0.990345
141,825,2,0.992832,0.99639,6.30E-05,22460,0.0355,0.0355,0.972813,330659,0.997937
142,809,2,0.974209,0.986763,2.30E-05,7049,0.035025,0.035025,0.98494,321914,0.984539
143,813,2,0.978799,0.98917,2.40E-05,10614,0.035178,0.035178,0.98381,324734,0.988842
144,811,2,0.976498,0.987966,3.10E-05,9784,0.035048,0.035048,0.981306,322315,0.985182
145,809,2,0.974209,0.986763,2.20E-05,10435,0.035037,0.035037,0.985632,322140,0.984869
146,826,2,0.994019,0.996992,5.80E-05,22313,0.035522,0.035522,0.971655,331067,0.998568
147,824,2,0.991647,0.995788,4.90E-05,19790,0.03548,0.03548,0.974056,330279,0.997356
148,794,2,0.957373,0.977738,2.20E-05,4164,0.034378,0.034378,0.985096,310129,0.966335
149,771,2,0.93266,0.963899,1.00E-05,3329,0.033514,0.033514,0.992777,294691,0.942029
150,827,2,0.99521,0.997593,7.60E-05,26047,0.035529,0.035529,0.969682,331196,0.998775
151,776,2,0.937923,0.966907,1.30E-05,3889,0.033706,0.033706,0.991317,298089,0.947429
152,806,2,0.970794,0.984958,2.50E-05,12503,0.03488,0.03488,0.984091,319254,0.980444
153,823,2,0.990465,0.995187,4.80E-05,14244,0.035457,0.035457,0.975208,329867,0.996724
154,616,2,0.794455,0.870638,4.00E-06,1100,0.026831,0.026831,0.996716,188798,0.754212
155,826,2,0.994019,0.996992,0.000136,23841,0.035497,0.035497,0.970275,330597,0.99786
156,822,2,0.989286,0.994585,4.20E-05,13402,0.035435,0.035435,0.976366,329456,0.996085
157,799,2,0.96292,0.980746,1.80E-05,8411,0.034633,0.034634,0.987415,314789,0.973513
158,823,2,0.990465,0.995187,4.20E-05,21721,0.035474,0.035474,0.976101,330169,0.997176
159,822,2,0.989286,0.994585,4.00E-05,13147,0.035443,0.035443,0.976783,329597,0.996302
160,820,2,0.986936,0.993381,5.20E-05,16941,0.035369,0.035369,0.977531,328245,0.994235
161,819,2,0.985765,0.99278,3.70E-05,11423,0.035342,0.035342,0.978437,327748,0.993475
162,824,2,0.991647,0.995788,4.70E-05,23259,0.035487,0.035487,0.974484,330424,0.997571
163,818,2,0.984597,0.992178,3.50E-05,19709,0.035321,0.035321,0.97968,327363,0.992876
164,808,2,0.973068,0.986161,1.90E-05,5857,0.03501,0.03501,0.986486,321622,0.984087
165,315,2,0.616927,0.689531,1.00E-06,419,0.013771,0.013771,0.99727,49320,0.387101
166,791,2,0.954076,0.975933,1.60E-05,3540,0.034313,0.034313,0.988747,308929,0.964498
167,763,2,0.92436,0.959085,0.000101,4074,0.032991,0.032991,0.98235,285572,0.927376
168,825,2,0.992832,0.99639,5.00E-05,26687,0.035511,0.035511,0.97338,330852,0.99823
169,809,2,0.974209,0.986763,2.90E-05,10239,0.034984,0.034984,0.982673,321173,0.983374
170,825,2,0.992832,0.99639,5.60E-05,22226,0.035497,0.035497,0.972613,330591,0.997843
171,782,2,0.944318,0.970517,1.30E-05,5093,0.033971,0.033971,0.991676,302829,0.954882
172,803,2,0.967404,0.983153,2.10E-05,4989,0.034787,0.034787,0.986115,317532,0.977822
173,790,2,0.952982,0.975331,0.000108,3929,0.034128,0.034128,0.980725,305648,0.959357
174,825,2,0.992832,0.99639,5.60E-05,31229,0.035497,0.035497,0.972639,330600,0.997855
175,813,2,0.978799,0.98917,3.00E-05,9965,0.035139,0.035139,0.981577,323997,0.987739
176,630,2,0.805233,0.879061,4.00E-06,1591,0.02744,0.02744,0.995084,197161,0.771312
177,776,2,0.937923,0.966907,1.90E-05,3712,0.033639,0.033639,0.987167,296841,0.945571
178,825,2,0.992832,0.99639,5.20E-05,21046,0.035501,0.035501,0.972848,330671,0.997958
179,777,2,0.938983,0.967509,4.90E-05,6797,0.033543,0.033543,0.979488,295292,0.942919
180,813,2,0.978799,0.98917,2.30E-05,8062,0.035182,0.035182,0.983995,324795,0.988945
181,811,2,0.976498,0.987966,0.00015,11605,0.034852,0.034852,0.97051,318769,0.979752
182,807,2,0.97193,0.98556,2.60E-05,6516,0.034922,0.034922,0.984042,320031,0.981636
183,824,2,0.991647,0.995788,6.40E-05,20910,0.03546,0.03546,0.973009,329924,0.996819
184,826,2,0.994019,0.996992,5.80E-05,34863,0.035523,0.035523,0.971681,331076,0.99858
185,810,2,0.975352,0.987365,2.90E-05,10411,0.035024,0.035024,0.982414,321883,0.984499
186,826,2,0.994019,0.996992,5.40E-05,27367,0.03553,0.03553,0.972095,331217,0.998793
187,803,2,0.967404,0.983153,1.90E-05,4300,0.034793,0.034793,0.986478,317649,0.978009
188,817,2,0.983432,0.991576,2.80E-05,14149,0.035314,0.035314,0.981679,327229,0.992658
189,821,2,0.988109,0.993983,3.70E-05,15417,0.035418,0.035418,0.977835,329149,0.99561
190,116,2,0.537516,0.569795,0,149,0.005028,0.005028,0.992354,6619,0.14135
191,829,2,0.997599,0.998797,0.000117,21208,0.03555,0.03555,0.966114,331576,0.999373
192,823,2,0.990465,0.995187,5.00E-05,16347,0.035428,0.035428,0.973606,329325,0.995912
193,822,2,0.989286,0.994585,4.10E-05,14984,0.035441,0.035441,0.97668,329562,0.99625
194,825,2,0.992832,0.99639,5.30E-05,13686,0.035498,0.035498,0.972695,330619,0.997882
195,757,2,0.918232,0.955475,5.00E-06,3542,0.032963,0.032963,0.996033,285011,0.926535
196,800,2,0.964037,0.981348,1.30E-05,8244,0.034727,0.034727,0.990147,316451,0.976128
197,734,2,0.895474,0.941637,2.00E-06,1946,0.032008,0.032008,0.998528,268615,0.899671
198,823,2,0.990465,0.995187,4.80E-05,11248,0.035445,0.035445,0.974525,329636,0.996375
199,819,2,0.985765,0.99278,3.50E-05,17193,0.035356,0.035356,0.979171,327994,0.993844
200,820,2,0.986936,0.993381,3.60E-05,17638,0.035392,0.035392,0.97879,328668,0.994872
201,823,2,0.990465,0.995187,4.10E-05,17264,0.035476,0.035476,0.976257,330222,0.997251
202,821,2,0.988109,0.993983,4.00E-05,16207,0.035412,0.035412,0.977475,329028,0.995427
203,827,2,0.99521,0.997593,6.20E-05,29501,0.035542,0.035542,0.970388,331437,0.99914
204,767,2,0.928492,0.961492,2.70E-05,4893,0.033313,0.033313,0.990996,291116,0.936398
205,820,2,0.986936,0.993381,3.60E-05,11105,0.03538,0.03538,0.978123,328444,0.994543
206,804,2,0.968531,0.983755,1.70E-05,7025,0.034854,0.034854,0.987491,318768,0.979711
